"season","lg","team","abbreviation","playoffs","champions","age","w","l","pw","pl","mov","sos","srs","o_rtg","d_rtg","n_rtg","pace","f_tr","x3p_ar","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","drb_percent","opp_ft_fga"
1961,"NBA","Boston Celtics","BOS",1,1,28.3,57,22,52,27,5.66,-0.72,4.94,88.7,84.5,4.2,134.4,0.302,0,0.449,0.398,0,0,0.222,0,0,0,0
1960,"NBA","Boston Celtics","BOS",1,1,27.5,59,16,54,21,8.32,-0.7,7.62,91,84.9,6.1,136.3,0.281,0,0.463,0.417,0,0,0.206,0,0,0,0
1959,"NBA","Boston Celtics","BOS",1,1,27.1,52,20,50,22,6.49,-0.65,5.84,89.5,84.5,5,128.7,0.316,0,0.453,0.395,0,0,0.242,0,0,0,0
1958,"NBA","St. Louis Hawks","STL",1,1,28,41,31,39,33,1.32,-0.5,0.82,89.7,88.6,1.1,119.5,0.425,0,0.455,0.388,0,0,0.304,0,0,0,0
1957,"NBA","Boston Celtics","BOS",1,1,27,44,28,49,23,5.36,-0.58,4.78,88.5,84,4.5,118,0.361,0,0.448,0.383,0,0,0.271,0,0,0,0
1956,"NBA","Philadelphia Warriors","PHW",1,1,25.6,45,27,46,26,4.26,-0.45,3.82,94.6,90.7,3.9,108.5,0.439,0,0.483,0.41,0,0,0.333,0,0,0,0
1955,"NBA","Syracuse Nationals","SYR",1,1,26.2,43,29,40,32,1.39,-0.16,1.23,87.5,86.2,1.3,103.6,0.386,0,0.442,0.372,0,0,0.29,0,0,0,0
1954,"NBA","Minneapolis Lakers","MNL",1,1,27.3,46,26,45,27,3.06,-0.35,2.71,86.8,83.5,3.3,93.5,0.356,0,0.438,0.376,0,0,0.261,0,0,0,0
1953,"NBA","Minneapolis Lakers","MNL",1,1,26.5,48,22,52,18,6.13,-0.59,5.54,90.1,83.6,6.5,93.7,0.4,0,0.457,0.39,0,0,0.295,0,0,0,0
1952,"NBA","Minneapolis Lakers","MNL",1,1,25.9,40,26,49,17,6.03,-0.75,5.28,85.3,79.3,6,97.2,0.335,0,0.429,0.367,0,0,0.25,0,0,0,0
1951,"NBA","Rochester Royals","ROC",1,1,0,41,27,42,26,2.99,-0.44,2.54,89.3,86.2,3.1,92.3,0.418,0,0.452,0.378,0,0,0.315,0,0,0,0
1950,"NBA","Minneapolis Lakers","MNL",1,1,0,51,17,55,13,8.34,-0.09,8.25,0,0,0,0,0.333,0,0.427,0.367,0,0,0.247,0,0,0,0
1949,"BAA","Minneapolis Lakers","MNL",1,1,0,44,16,47,13,7.38,-0.58,6.8,0,0,0,0,0.342,0,0.426,0.366,0,0,0.247,0,0,0,0
1948,"BAA","Baltimore Bullets","BLB",1,1,0,28,20,33,15,3.85,-0.16,3.69,0,0,0,0,0.337,0,0.363,0.301,0,0,0.232,0,0,0,0
1947,"BAA","Philadelphia Warriors","PHW",1,1,0,35,25,40,20,3.48,-0.32,3.16,0,0,0,0,0.296,0,0.338,0.28,0,0,0.204,0,0,0,0
